"id","keyMap","type","valueEn","valueVi","createdAt","updatedAt"
"24","R1","ROLE","Admin","Quản trị viên","0000-00-00 00:00:00","0000-00-00 00:00:00"
"25","R2","ROLE","Doctor","Bác sĩ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"26","R3","ROLE","Patient","Bệnh nhân","0000-00-00 00:00:00","0000-00-00 00:00:00"
"27","S1","STATUS","New","Lịch hẹn mới","0000-00-00 00:00:00","0000-00-00 00:00:00"
"28","S2","STATUS","Confirmed","Đã xác nhận","0000-00-00 00:00:00","0000-00-00 00:00:00"
"29","S3","STATUS","Done","Đã khám xong","0000-00-00 00:00:00","0000-00-00 00:00:00"
"30","S4","STATUS","Cancel","Đã hủy","0000-00-00 00:00:00","0000-00-00 00:00:00"
"31","T1","TIME","8:00 AM - 9:00 AM","8:00 - 9:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"32","T2","TIME","9:00 AM - 10:00 AM","9:00 - 10:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"33","T3","TIME","10:00 AM - 11:00 AM","10:00 - 11:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"34","T4","TIME","11:00 AM - 0:00 PM","11:00 - 12:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"35","T5","TIME","1:00 PM - 2:00 PM","13:00 - 14:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"36","T6","TIME","2:00 PM - 3:00 PM","14:00 - 15:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"37","T7","TIME","3:00 PM - 4:00 PM","15:00 - 16:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"38","T8","TIME","4:00 PM - 5:00 PM","16:00 - 17:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"39","P0","POSITION","Doctor","Bác sĩ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"40","P1","POSITION","Master","Thạc sĩ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"41","P2","POSITION","Dr","Tiến sĩ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"42","P3","POSITION","Associate Professor","Phó giáo sư","0000-00-00 00:00:00","0000-00-00 00:00:00"
"43","P4","POSITION","Professor","Giáo sư","0000-00-00 00:00:00","0000-00-00 00:00:00"
"44","M","GENDER","Male","Nam","0000-00-00 00:00:00","0000-00-00 00:00:00"
"45","F","GENDER","Female","Nữ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"46","O","GENDER","Other","Khác","0000-00-00 00:00:00","0000-00-00 00:00:00"
"47","PRI1","PRICE","10","200000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"48","PRI2","PRICE","15","250000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"49","PRI3","PRICE","20","300000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"50","PRI4","PRICE","25","350000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"51","PRI5","PRICE","30","400000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"52","PRI6","PRICE","35","450000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"53","PRI7","PRICE","40","500000","0000-00-00 00:00:00","0000-00-00 00:00:00"
"54","PAY1","PAYMENT","Cash","Tiền mặt","0000-00-00 00:00:00","0000-00-00 00:00:00"
"55","PAY2","PAYMENT","Credit card","Thẻ ATM","0000-00-00 00:00:00","0000-00-00 00:00:00"
"56","PAY3","PAYMENT","All payment method","Tất cả","0000-00-00 00:00:00","0000-00-00 00:00:00"
"57","PRO1","PROVINCE","Ha Noi","Hà Nội","0000-00-00 00:00:00","0000-00-00 00:00:00"
"58","PRO4","PROVINCE","Ho Chi Minh","Hồ Chí Minh","0000-00-00 00:00:00","0000-00-00 00:00:00"
"59","PRO3","PROVINCE","Da Nang","Đà Nẵng","0000-00-00 00:00:00","0000-00-00 00:00:00"
"60","PRO5","PROVINCE","Can Tho","Cần Thơ","0000-00-00 00:00:00","0000-00-00 00:00:00"
"61","PRO2","PROVINCE","Hai Phong","Hải Phòng","0000-00-00 00:00:00","0000-00-00 00:00:00"
"2","3",NULL,NULL,"<p><strong>BSCKII Mach Thuan</strong></p>
<ul>
<li>Trưởng khoa Nội Cơ Xương Khớp, Bệnh viện Nhân dân Gia Định</li>
<li>Nhiều năm kinh nghiệm trong khám và điều trị bệnh lý về Nội Cơ xương khớp</li>
<li>Bác sĩ nhận khám cho bệnh nhân từ 16 tuổi trở lên</li>
</ul>
<p><strong>Khám và điều trị</strong></p>
<p>Bác sĩ khám và điều trị các mặt bệnh:</p>
<ul>
<li>Viêm khớp, thoái hóa khớp: đau khớp, gai trong khớp,...</li>
<li>Đau gót chân, gai gót chân</li>
<li>Gai cột sống, thoái hóa cột sống: đau lưng cấp, mãn tính</li>
<li>Hội chứng ống cổ tay, đau thần kinh tọa: tê tay, tê chân,...</li>
</ul>
<p><strong>Quá trình công tác</strong></p>
<ul>
<li>Trưởng khoa Nội Cơ Xương Khớp, Bệnh viện Nhân dân Gia Định (nay)</li>
<li>Phó Trưởng khoa Hô hấp - Cơ xương khớp, Bệnh viện Nhân dân Gia Định (2010 - 2018)</li>
<li>Bác sĩ khoa Hồi sức Nội, Bệnh viện Nhân dân Gia Định (2006 - 2009)</li>
</ul>
<p><strong>Quá trình đào tạo</strong></p>
<ul>
<li>Tốt nghiệp Bác sĩ chuyên khoa II, chuyên ngành Nội khoa, Đại học Y Hà Nội (2020)</li>
<li>Tốt nghiệp Thạc sĩ chuyên ngành Nội Tổng quát, Đại học Y khoa Phạm Ngọc Thạch (2014)</li>
<li>Tốt nghiệp Bác sĩ đa khoa, Đại học Y Dược TP.HCM (2006)</li>
<li>Chứng chỉ Sơ bộ Cơ xương khớp, Bệnh viện Chợ Rẫy (2014)</li>
<li>Tu nghiệp chuyên môn tại các nước Hà Lan, Úc, Bồ Đào Nha, Dubai,...</li>
</ul>
","**BSCKII Mach Thuan**
* Trưởng khoa Nội Cơ Xương Khớp, Bệnh viện Nhân dân Gia Định
* Nhiều năm kinh nghiệm trong khám và điều trị bệnh lý về Nội Cơ xương khớp
* Bác sĩ nhận khám cho bệnh nhân từ 16 tuổi trở lên

**Khám và điều trị**

Bác sĩ khám và điều trị các mặt bệnh:
* Viêm khớp, thoái hóa khớp: đau khớp, gai trong khớp,...
* Đau gót chân, gai gót chân
* Gai cột sống, thoái hóa cột sống: đau lưng cấp, mãn tính
* Hội chứng ống cổ tay, đau thần kinh tọa: tê tay, tê chân,...

**Quá trình công tác**
* Trưởng khoa Nội Cơ Xương Khớp, Bệnh viện Nhân dân Gia Định (nay)
* Phó Trưởng khoa Hô hấp - Cơ xương khớp, Bệnh viện Nhân dân Gia Định (2010 - 2018)
* Bác sĩ khoa Hồi sức Nội, Bệnh viện Nhân dân Gia Định (2006 - 2009)

**Quá trình đào tạo**
* Tốt nghiệp Bác sĩ chuyên khoa II, chuyên ngành Nội khoa, Đại học Y Hà Nội (2020)
* Tốt nghiệp Thạc sĩ chuyên ngành Nội Tổng quát, Đại học Y khoa Phạm Ngọc Thạch (2014)
* Tốt nghiệp Bác sĩ đa khoa, Đại học Y Dược TP.HCM (2006)
* Chứng chỉ Sơ bộ Cơ xương khớp, Bệnh viện Chợ Rẫy (2014)
* Tu nghiệp chuyên môn tại các nước Hà Lan, Úc, Bồ Đào Nha, Dubai,...","Trưởng khoa Nội Cơ Xương Khớp, Bệnh viện Nhân dân Gia Định
Nhiều năm kinh nghiệm trong khám và điều trị bệnh lý về Nội Cơ xương khớp
Bác sĩ nhận khám cho bệnh nhân từ 16 tuổi trở lên","2024-07-22 17:26:56","2024-08-12 11:37:21"
"3","3",NULL,NULL,"<p><strong>BSCKII Mach Thuan</strong></p>
<ul>
<li>Trưởng khoa Nội Cơ Xương Khớp, Bệnh viện Nhân dân Gia Định</li>
<li>Nhiều năm kinh nghiệm trong khám và điều trị bệnh lý về Nội Cơ xương khớp</li>
<li>Bác sĩ nhận khám cho bệnh nhân từ 16 tuổi trở lên</li>
</ul>
<p><strong>Khám và điều trị</strong></p>
<p>Bác sĩ khám và điều trị các mặt bệnh:</p>
<ul>
<li>Viêm khớp, thoái hóa khớp: đau khớp, gai trong khớp,...</li>
<li>Đau gót chân, gai gót chân</li>
<li>Gai cột sống, thoái hóa cột sống: đau lưng cấp, mãn tính</li>
<li>Hội chứng ống cổ tay, đau thần kinh tọa: tê tay, tê chân,...</li>
</ul>
<p><strong>Quá trình công tác</strong></p>
<ul>
<li>Trưởng khoa Nội Cơ Xương Khớp, Bệnh viện Nhân dân Gia Định (nay)</li>
<li>Phó Trưởng khoa Hô hấp - Cơ xương khớp, Bệnh viện Nhân dân Gia Định (2010 - 2018)</li>
<li>Bác sĩ khoa Hồi sức Nội, Bệnh viện Nhân dân Gia Định (2006 - 2009)</li>
</ul>
<p><strong>Quá trình đào tạo</strong></p>
<ul>
<li>Tốt nghiệp Bác sĩ chuyên khoa II, chuyên ngành Nội khoa, Đại học Y Hà Nội (2020)</li>
<li>Tốt nghiệp Thạc sĩ chuyên ngành Nội Tổng quát, Đại học Y khoa Phạm Ngọc Thạch (2014)</li>
<li>Tốt nghiệp Bác sĩ đa khoa, Đại học Y Dược TP.HCM (2006)</li>
<li>Chứng chỉ Sơ bộ Cơ xương khớp, Bệnh viện Chợ Rẫy (2014)</li>
<li>Tu nghiệp chuyên môn tại các nước Hà Lan, Úc, Bồ Đào Nha, Dubai,...</li>
</ul>
","**BSCKII Mach Thuan**
* Trưởng khoa Nội Cơ Xương Khớp, Bệnh viện Nhân dân Gia Định
* Nhiều năm kinh nghiệm trong khám và điều trị bệnh lý về Nội Cơ xương khớp
* Bác sĩ nhận khám cho bệnh nhân từ 16 tuổi trở lên

**Khám và điều trị**

Bác sĩ khám và điều trị các mặt bệnh:
* Viêm khớp, thoái hóa khớp: đau khớp, gai trong khớp,...
* Đau gót chân, gai gót chân
* Gai cột sống, thoái hóa cột sống: đau lưng cấp, mãn tính
* Hội chứng ống cổ tay, đau thần kinh tọa: tê tay, tê chân,...

**Quá trình công tác**
* Trưởng khoa Nội Cơ Xương Khớp, Bệnh viện Nhân dân Gia Định (nay)
* Phó Trưởng khoa Hô hấp - Cơ xương khớp, Bệnh viện Nhân dân Gia Định (2010 - 2018)
* Bác sĩ khoa Hồi sức Nội, Bệnh viện Nhân dân Gia Định (2006 - 2009)

**Quá trình đào tạo**
* Tốt nghiệp Bác sĩ chuyên khoa II, chuyên ngành Nội khoa, Đại học Y Hà Nội (2020)
* Tốt nghiệp Thạc sĩ chuyên ngành Nội Tổng quát, Đại học Y khoa Phạm Ngọc Thạch (2014)
* Tốt nghiệp Bác sĩ đa khoa, Đại học Y Dược TP.HCM (2006)
* Chứng chỉ Sơ bộ Cơ xương khớp, Bệnh viện Chợ Rẫy (2014)
* Tu nghiệp chuyên môn tại các nước Hà Lan, Úc, Bồ Đào Nha, Dubai,...","Trưởng khoa Nội Cơ Xương Khớp, Bệnh viện Nhân dân Gia Định
Nhiều năm kinh nghiệm trong khám và điều trị bệnh lý về Nội Cơ xương khớp
Bác sĩ nhận khám cho bệnh nhân từ 16 tuổi trở lên","2024-07-26 14:03:35","2024-08-12 11:37:21"
"4","6",NULL,NULL,"<p><strong>QUI ĐỊNH KHÁM BỆNH GIAI ĐOẠN COVID -19</strong></p>
<p>Người bệnh tới khám chú ý các qui định sau:</p>
<p>Tiêm đủ 2 mũi vaccine ngừa COVID-19
Khai báo y tế
Khai báo triệu chứng nếu có: sốt, ho, hắt hơi sổ mũi,… --&gt; sẽ cần test nhanh COVID-19
Khi vào khám ĐEO KHẨU TRANG VÀ ĐEO KÍNH CHẮN GIỌT BẮN
Đảm bảo khoảng cách 2 mét cách nhau --&gt; tránh lây nhiễm
Mỗi lần chỉ 1 người bệnh vào khám</p>
","**QUI ĐỊNH KHÁM BỆNH GIAI ĐOẠN COVID -19**

Người bệnh tới khám chú ý các qui định sau:

Tiêm đủ 2 mũi vaccine ngừa COVID-19
Khai báo y tế
Khai báo triệu chứng nếu có: sốt, ho, hắt hơi sổ mũi,… --> sẽ cần test nhanh COVID-19
Khi vào khám ĐEO KHẨU TRANG VÀ ĐEO KÍNH CHẮN GIỌT BẮN
Đảm bảo khoảng cách 2 mét cách nhau --> tránh lây nhiễm
Mỗi lần chỉ 1 người bệnh vào khám","Phó giáo sư, Tiến sĩ, Bác sĩ Trần Quang Nam hiện đang là Trưởng khoa Nội Tiết bệnh viện Đại học Y Dược TP. HCM, Phó Trưởng Bộ môn Nội tiết tại Đại học Y dược TP. HCM. Bác sĩ có nhiều năm kinh nghiệm trong việc chuyên khám và điều trị các bệnh như đái tháo đường, bệnh bướu cổ, bệnh nội tiết và các bệnh nội khoa.","2024-08-11 22:32:50","2024-08-11 22:32:50"
"id","currentNumber","maxNumber","date","timeType","doctorId","createdAt","updatedAt"
"9",NULL,"10","03/08/2024","T1","2","2024-08-01 14:29:37","2024-08-01 14:29:37"
"10",NULL,"10","03/08/2024","T2","2","2024-08-01 14:29:37","2024-08-01 14:29:37"
"11",NULL,"10","03/08/2024","T3","2","2024-08-01 14:29:53","2024-08-01 14:29:53"
"12",NULL,"10","03/08/2024","T4","2","2024-08-01 14:29:53","2024-08-01 14:29:53"
"13",NULL,"10","03/08/2024","T5","2","2024-08-01 14:40:19","2024-08-01 14:40:19"
"14",NULL,"10","03/08/2024","T6","2","2024-08-01 14:40:19","2024-08-01 14:40:19"
"15",NULL,"10","09/08/2024","T1","2","2024-08-07 15:20:11","2024-08-07 15:20:11"
"16",NULL,"10","09/08/2024","T2","2","2024-08-07 15:20:11","2024-08-07 15:20:11"
"17",NULL,"10","09/08/2024","T3","2","2024-08-07 15:20:11","2024-08-07 15:20:11"
"21",NULL,"10","10/08/2024","T1","2","2024-08-08 13:18:34","2024-08-08 13:18:34"
"22",NULL,"10","10/08/2024","T2","2","2024-08-08 13:18:34","2024-08-08 13:18:34"
"23",NULL,"10","10/08/2024","T3","2","2024-08-08 13:18:34","2024-08-08 13:18:34"
"24",NULL,"10","10/08/2024","T4","2","2024-08-08 13:18:34","2024-08-08 13:18:34"
"25",NULL,"10","10/08/2024","T5","2","2024-08-08 13:18:34","2024-08-08 13:18:34"
"26",NULL,"10","10/08/2024","T6","2","2024-08-08 13:18:34","2024-08-08 13:18:34"
"27",NULL,"10","10/08/2024","T7","2","2024-08-08 13:18:34","2024-08-08 13:18:34"
"28",NULL,"10","10/08/2024","T8","2","2024-08-08 13:18:34","2024-08-08 13:18:34"
"29",NULL,"10","08/08/2024","T1","2","2024-08-08 13:29:22","2024-08-08 13:29:22"
"30",NULL,"10","08/08/2024","T2","2","2024-08-08 13:29:22","2024-08-08 13:29:22"
"31",NULL,"10","08/08/2024","T7","2","2024-08-08 13:29:22","2024-08-08 13:29:22"
"32",NULL,"10","08/08/2024","T8","2","2024-08-08 13:29:22","2024-08-08 13:29:22"
"33",NULL,"10","12/08/2024","T1","2","2024-08-12 12:12:52","2024-08-12 12:12:52"
"34",NULL,"10","12/08/2024","T2","2","2024-08-12 12:12:52","2024-08-12 12:12:52"
"35",NULL,"10","12/08/2024","T3","2","2024-08-12 12:12:52","2024-08-12 12:12:52"
"36",NULL,"10","12/08/2024","T4","2","2024-08-12 12:12:52","2024-08-12 12:12:52"
"37",NULL,"10","12/08/2024","T5","2","2024-08-12 12:12:52","2024-08-12 12:12:52"
"38",NULL,"10","12/08/2024","T6","2","2024-08-12 12:12:52","2024-08-12 12:12:52"
"39",NULL,"10","13/08/2024","T1","2","2024-08-12 12:13:16","2024-08-12 12:13:16"
"40",NULL,"10","13/08/2024","T2","2","2024-08-12 12:13:16","2024-08-12 12:13:16"
"41",NULL,"10","13/08/2024","T3","2","2024-08-12 12:13:16","2024-08-12 12:13:16"
"42",NULL,"10","13/08/2024","T4","2","2024-08-12 12:13:16","2024-08-12 12:13:16"
"43",NULL,"10","13/08/2024","T5","2","2024-08-12 12:13:16","2024-08-12 12:13:16"
"44",NULL,"10","13/08/2024","T6","2","2024-08-12 12:13:16","2024-08-12 12:13:16"
"45",NULL,"10","13/08/2024","T7","2","2024-08-12 12:13:16","2024-08-12 12:13:16"
"46",NULL,"10","13/08/2024","T8","2","2024-08-12 12:13:16","2024-08-12 12:13:16"
"47",NULL,"10","14/08/2024","T1","2","2024-08-12 14:02:26","2024-08-12 14:02:26"
"48",NULL,"10","14/08/2024","T2","2","2024-08-12 14:02:26","2024-08-12 14:02:26"
"49",NULL,"10","14/08/2024","T3","2","2024-08-12 14:02:26","2024-08-12 14:02:26"
"50",NULL,"10","14/08/2024","T4","2","2024-08-12 14:02:26","2024-08-12 14:02:26"
"51",NULL,"10","14/08/2024","T5","2","2024-08-12 14:02:26","2024-08-12 14:02:26"
"52",NULL,"10","14/08/2024","T6","2","2024-08-12 14:02:26","2024-08-12 14:02:26"
"53",NULL,"10","14/08/2024","T7","2","2024-08-12 14:02:26","2024-08-12 14:02:26"
"54",NULL,"10","15/08/2024","T1","2","2024-08-12 14:02:59","2024-08-12 14:02:59"
"55",NULL,"10","15/08/2024","T2","2","2024-08-12 14:02:59","2024-08-12 14:02:59"
"56",NULL,"10","15/08/2024","T3","2","2024-08-12 14:02:59","2024-08-12 14:02:59"
"57",NULL,"10","15/08/2024","T4","2","2024-08-12 14:02:59","2024-08-12 14:02:59"
"58",NULL,"10","16/08/2024","T5","2","2024-08-12 14:24:39","2024-08-12 14:24:39"
"59",NULL,"10","16/08/2024","T6","2","2024-08-12 14:24:39","2024-08-12 14:24:39"
"60",NULL,"10","16/08/2024","T7","2","2024-08-12 14:24:39","2024-08-12 14:24:39"
"61",NULL,"10","16/08/2024","T8","2","2024-08-12 14:24:39","2024-08-12 14:24:39"
"name"
"migration-create-allcode.js"
"migration-create-booking.js"
"migration-create-clinic.js"
"migration-create-doctor-clinic-specialty.js"
"migration-create-doctor-info.js"
"migration-create-history.js"
"migration-create-markdown.js"
"migration-create-schedule.js"
"migration-create-specialty.js"
"migration-create-user.js"
"id","name","description","image","createdAt","updatedAt"
